 Date,NG1 Open,NG1 Low,NG1 High,NG1 Close,NG1 Adj. Close
6/19/2020,1.64,1.63,1.68,1.67,1.67
6/18/2020,1.63,1.61,1.66,1.64,1.64
6/17/2020,1.61,1.6,1.65,1.63,1.63
6/16/2020,1.67,1.6,1.68,1.62,1.62
6/15/2020,1.75,1.66,1.75,1.67,1.67
6/12/2020,1.82,1.73,1.82,1.74,1.74
6/11/2020,1.79,1.77,1.83,1.82,1.82
6/10/2020,1.73,1.73,1.81,1.79,1.79
6/9/2020,1.82,1.67,1.83,1.73,1.73
6/8/2020,1.77,1.75,1.82,1.81,1.81
6/5/2020,1.82,1.78,1.86,1.8,1.8
6/4/2020,1.82,1.79,1.85,1.82,1.82
6/3/2020,1.78,1.78,1.86,1.82,1.82
6/2/2020,1.78,1.76,1.8,1.78,1.78
6/1/2020,1.8,1.74,1.82,1.79,1.79
5/29/2020,1.83,1.76,1.86,1.84,1.84
5/28/2020,1.87,1.81,1.9,1.82,1.82
5/27/2020,1.77,1.7,1.88,1.87,1.87
5/26/2020,1.72,1.71,1.81,1.77,1.77
5/25/2020,1.71,1.69,1.73,1.72,1.72
5/22/2020,1.72,1.69,1.76,1.74,1.74
5/21/2020,1.77,1.69,1.77,1.72,1.72
5/20/2020,1.82,1.74,1.89,1.77,1.77
5/19/2020,1.79,1.76,1.86,1.82,1.82
5/18/2020,1.71,1.71,1.85,1.78,1.78
5/15/2020,1.7,1.63,1.73,1.64,1.64
5/14/2020,1.63,1.61,1.71,1.7,1.7
5/13/2020,1.7,1.59,1.74,1.63,1.63
5/12/2020,1.83,1.69,1.85,1.7,1.7
5/11/2020,1.84,1.8,1.89,1.83,1.83
5/8/2020,1.92,1.81,1.92,1.82,1.82
5/7/2020,1.95,1.89,1.99,1.92,1.92
5/6/2020,2.1,1.93,2.1,1.95,1.95
5/5/2020,2.06,2.06,2.16,2.1,2.1
5/4/2020,1.94,1.94,2.03,2.03,2.03
5/1/2020,1.94,1.87,2.01,1.88,1.88
4/30/2020,1.87,1.82,1.95,1.93,1.93
4/29/2020,1.96,1.86,1.97,1.88,1.88
4/28/2020,1.87,1.7,1.91,1.79,1.79
4/27/2020,1.73,1.59,1.88,1.87,1.87
4/24/2020,1.8,1.7,1.84,1.71,1.71
4/23/2020,1.94,1.8,1.95,1.8,1.8
4/22/2020,1.83,1.77,1.95,1.94,1.94
4/21/2020,1.95,1.78,1.97,1.84,1.84
4/20/2020,1.77,1.7,1.97,1.94,1.94
4/17/2020,1.71,1.66,1.8,1.76,1.76
4/16/2020,1.58,1.56,1.72,1.7,1.7
4/15/2020,1.64,1.58,1.67,1.58,1.58
4/14/2020,1.73,1.63,1.73,1.64,1.64
4/13/2020,1.76,1.7,1.81,1.73,1.73
4/9/2020,1.8,1.72,1.82,1.75,1.75
4/8/2020,1.91,1.77,1.92,1.78,1.78
4/7/2020,1.77,1.75,1.91,1.89,1.89
4/6/2020,1.64,1.63,1.76,1.75,1.75
4/3/2020,1.56,1.53,1.66,1.65,1.65
4/2/2020,1.59,1.52,1.62,1.56,1.56
4/1/2020,1.65,1.58,1.68,1.59,1.59
3/31/2020,1.7,1.64,1.73,1.65,1.65
3/30/2020,1.85,1.69,1.94,1.7,1.7
3/27/2020,1.94,1.89,1.95,1.67,1.67
3/26/2020,1.83,1.78,1.84,1.8,1.8
3/25/2020,1.85,1.8,1.89,1.83,1.83
3/24/2020,1.78,1.77,1.86,1.84,1.84
3/23/2020,1.71,1.7,1.81,1.78,1.78
3/20/2020,1.82,1.74,1.87,1.75,1.75
3/19/2020,1.79,1.74,1.83,1.81,1.81
3/18/2020,1.84,1.69,1.84,1.79,1.79
3/17/2020,1.91,1.83,1.93,1.84,1.84
3/16/2020,1.91,1.88,1.95,1.91,1.91
3/13/2020,1.95,1.93,2.05,1.98,1.98
