Month,U.S. Crude Oil 
6/1/2008,5138
7/1/2008,5177
8/1/2008,5003
9/1/2008,3974
10/1/2008,4738
11/1/2008,5078
12/1/2008,5103
1/1/2009,5138
2/1/2009,5236
3/1/2009,5210
4/1/2009,5278
5/1/2009,5374
6/1/2009,5263
7/1/2009,5389
8/1/2009,5406
9/1/2009,5555
10/1/2009,5515
11/1/2009,5378
12/1/2009,5438
1/1/2010,5390
2/1/2010,5548
3/1/2010,5506
4/1/2010,5383
5/1/2010,5391
6/1/2010,5381
7/1/2010,5299
8/1/2010,5442
9/1/2010,5611
10/1/2010,5621
11/1/2010,5567
12/1/2010,5602
1/1/2011,5492
2/1/2011,5399
3/1/2011,5612
4/1/2011,5552
5/1/2011,5613
6/1/2011,5578
7/1/2011,5430
8/1/2011,5651
9/1/2011,5583
10/1/2011,5886
11/1/2011,6001
12/1/2011,6032
1/1/2012,6161
2/1/2012,6245
3/1/2012,6301
4/1/2012,6296
5/1/2012,6351
6/1/2012,6269
7/1/2012,6421
8/1/2012,6329
9/1/2012,6563
10/1/2012,6946
11/1/2012,7037
12/1/2012,7088
1/1/2013,7025
2/1/2013,7144
3/1/2013,7208
4/1/2013,7355
5/1/2013,7316
6/1/2013,7268
7/1/2013,7483
8/1/2013,7531
9/1/2013,7784
10/1/2013,7699
11/1/2013,7873
12/1/2013,7899
1/1/2014,8051
2/1/2014,8136
3/1/2014,8274
4/1/2014,8573
5/1/2014,8612
6/1/2014,8718
7/1/2014,8782
8/1/2014,8886
9/1/2014,9041
10/1/2014,9221
11/1/2014,9303
12/1/2014,9467
1/1/2015,9385
2/1/2015,9511
3/1/2015,9578
4/1/2015,9650
5/1/2015,9464
6/1/2015,9344
7/1/2015,9430
8/1/2015,9400
9/1/2015,9460
10/1/2015,9388
11/1/2015,9318
12/1/2015,9251
1/1/2016,9197
2/1/2016,9055
3/1/2016,9081
4/1/2016,8866
5/1/2016,8824
6/1/2016,8670
7/1/2016,8635
8/1/2016,8670
9/1/2016,8519
10/1/2016,8787
11/1/2016,8888
12/1/2016,8778
1/1/2017,8840
2/1/2017,9083
3/1/2017,9140
4/1/2017,9085
5/1/2017,9168
6/1/2017,9074
7/1/2017,9230
8/1/2017,9244
9/1/2017,9495
10/1/2017,9703
11/1/2017,10103
12/1/2017,10040
1/1/2018,9995
2/1/2018,10248
3/1/2018,10461
4/1/2018,10475
5/1/2018,10443
6/1/2018,10674
